"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Ссылка","Краткое описание","Ключевые слова автора"
"Prasetyo, W.D.; Adi Putra, Z.A.; Bilad, M.R.; Mahlia, T.M.I.; Wibisono, Y.; Md Nordin, N.A.H.; Wirzal, M.D.H.","Prasetyo, Wegik Dwi (57214223747); Adi Putra, Zulfan (24759386100); Bilad, Muhammad Roil (58138035000); Mahlia, Teuku Meurah Indra (56997615100); Wibisono, Y. (55995483800); Md Nordin, Nik Abdul Hadi (57193777210); Wirzal, Mohd Dzul Hakim (55822607200)","57214223747; 24759386100; 58138035000; 56997615100; 55995483800; 57193777210; 55822607200","Insight into the sustainable integration of bio- and petroleum refineries for the production of fuels and chemicals","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086009908&partnerID=40&md5=25b59e5c1b820a24e2694f97da7318fb","A petroleum refinery heavily depends on crude oil as its main feedstock to produce liquid fuels and chemicals. In the long term, this unyielding dependency is threatened by the depletion of the crude oil reserve. However, in the short term, its price highly fluctuates due to various factors, such as regional and global security instability causing additional complexity on refinery production planning. The petroleum refining industries are also drawing criticism and pressure due to their direct and indirect impacts on the environment. The exhaust gas emission of automobiles apart from the industrial and power plant emission has been viewed as the cause of global warming. In this sense, there is a need for a feasible, sustainable, and environmentally friendly generation process of fuels and chemicals. The attention turns to the utilization of biomass as a potential feedstock to produce substitutes for petroleum-derived fuels and building blocks for biochemicals. Biomass is abundant and currently is still low in utilization. The biorefinery, a facility to convert biomass into biofuels and biochemicals, is still lacking in competitiveness to a petroleum refinery. An attractive solution that addresses both is by the integration of bio- and petroleum refineries. In this context, the right decision making in the process selection and technologies can lower the investment and operational costs and assure optimum yield. Process optimization based on mathematical programming has been extensively used to conduct techno-economic and sustainability analysis for bio-, petroleum, and the integration of both refineries. This paper provides insights into the context of crude oil and biomass as potential refinery feedstocks. The current optimization status of either bio- or petroleum refineries and their integration is reviewed with the focus on the methods to solve the multi-objective optimization problems. Internal and external uncertain parameters are important aspects in process optimization. The nature of these uncertain parameters and their representation methods in process optimization are also discussed. © 2020 by the authors.","Biomass; Biorefinery; Mathematical programming deterministic; Multi-objective optimization; Process optimization; Single-objective optimization; Stochastics"
"Almeida Benalcázar, E.; Noorman, H.; Maciel Filho, R.; Posada, J.A.","Almeida Benalcázar, Eduardo (57210593504); Noorman, Henk J. (6603289634); Maciel Filho, Rubens F. (7003732915); Posada, John Alexander (58249053500)","57210593504; 6603289634; 7003732915; 58249053500","Modeling ethanol production through gas fermentation: A biothermodynamics and mass transfer-based hybrid model for microbial growth in a large-scale bubble column bioreactor","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083161294&partnerID=40&md5=a9ce54ecbce47f83258d90b169ae3f2e","Background: Ethanol production through fermentation of gas mixtures containing CO, CO<inf>2</inf> and H<inf>2</inf> has just started operating at commercial scale. However, quantitative schemes for understanding and predicting productivities, yields, mass transfer rates, gas flow profiles and detailed energy requirements have been lacking in literature; such are invaluable tools for process improvements and better systems design. The present study describes the construction of a hybrid model for simulating ethanol production inside a 700 m3 bubble column bioreactor fed with gas of two possible compositions, i.e., pure CO and a 3:1 mixture of H<inf>2</inf> and CO<inf>2</inf>. Results: Estimations made using the thermodynamics-based black-box model of microbial reactions on substrate threshold concentrations, biomass yields, as well as CO and H<inf>2</inf> maximum specific uptake rates agreed reasonably well with data and observations reported in literature. According to the bioreactor simulation, there is a strong dependency of process performance on mass transfer rates. When mass transfer coefficients were estimated using a model developed from oxygen transfer to water, ethanol productivity reached 5.1 g L-1 h-1; when the H<inf>2</inf>/CO<inf>2</inf> mixture is fed to the bioreactor, productivity of CO fermentation was 19% lower. Gas utilization reached 23 and 17% for H<inf>2</inf>/CO<inf>2</inf> and CO fermentations, respectively. If mass transfer coefficients were 100% higher than those estimated, ethanol productivity and gas utilization may reach 9.4 g L-1 h-1 and 38% when feeding the H<inf>2</inf>/CO<inf>2</inf> mixture at the same process conditions. The largest energetic requirements for a complete manufacturing plant were identified for gas compression and ethanol distillation, being higher for CO fermentation due to the production of CO<inf>2</inf>. Conclusions: The thermodynamics-based black-box model of microbial reactions may be used to quantitatively assess and consolidate the diversity of reported data on CO, CO<inf>2</inf> and H<inf>2</inf> threshold concentrations, biomass yields, maximum substrate uptake rates, and half-saturation constants for CO and H<inf>2</inf> for syngas fermentations by acetogenic bacteria. The maximization of ethanol productivity in the bioreactor may come with a cost: low gas utilization. Exploiting the model flexibility, multi-objective optimizations of bioreactor performance might reveal how process conditions and configurations could be adjusted to guide further process development. © 2020 The Author(s).","Bioreactor simulation; Biothermodynamics; Ethanol; Syngas fermentation"
"Rabbani, M.; Momen, S.; Akbarian-Saravi, N.; Farrokhi-Asl, H.; Ghelichi, Z.","Rabbani, Masoud (57208701862); Momen, Sara (57213172206); Akbarian-Saravi, Niloofar (57201556121); Farrokhi-Asl, Hamed (57115278000); Ghelichi, Zabih (57199650857)","57208701862; 57213172206; 57201556121; 57115278000; 57199650857","Optimal design for sustainable bioethanol supply chain considering the bioethanol production strategies: A case study","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077650706&partnerID=40&md5=f57caf2e40d19d32ae8865aede5e557c","In search for the promising road transportation fuel, bioethanol has attracted much attention interest during the last few decades. Meanwhile, sewage sludge shows significant potential in the context of biofuel, which motivates policy-makers to commercialize its utilization. To put a step forward in sustainable sewage-based bioethanol production, a multi-objective mixed-integer linear programming model is developed with a solution approach incorporating Best-Worst Method (BWM) approach in an augmented ε-constraint method. The economic viability of the supply chain is analyzed in response to different bioethanol-gasoline blending ratio. To assess the applicability of the model, a case study of Iran has been employed. Computational results illustrate that an increase of 1% in bioethanol-gasoline blending ratio could result in a 54% increase in total supply costs. Ergo, the proposed model can be an efficient tool for the energy sector policymakers to pave the way towards a sustainable world with abundant clean energy. © 2019","Best-Worst method; Bioethanol-gasoline blending ratio; Multi-objective optimization; Sewage sludge; Sustainable bioethanol supply chain"
"Tay, K.L.; Yang, W.; Zhao, F.; Lin, Q.; Wu, S.","Tay, Kunlin (56340510600); Yang, Wenming (26533639100); Zhao, Feiyang (36097329500); Lin, Qinjie (57206198157); Wu, Shaohua (57875313700)","56340510600; 26533639100; 36097329500; 57206198157; 57875313700","Development of a Highly Compact and Robust Chemical Reaction Mechanism for Unsaturated Furan Oxidation in Internal Combustion Engines via a Multiobjective Genetic Algorithm and Generalized Polynomial Chaos","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077055878&partnerID=40&md5=bed8334ec9a8e5e904a72166a8678920","This work focuses on the development of a highly compact and robust chemical reaction mechanism for unsaturated furan oxidation in internal combustion engines. Recently, furans have gathered much attention in the research community as they are second-generation biofuels that do not compete with food supplies, unlike first-generation biofuels. Moreover, they are oxygenated and highly resistant to knocking when compressed. A four-component chemical reaction mechanism, consisting of furan, 2-methylfuran, 2,5-dimethylfuran, and toluene, is developed to simulate the combustion of unsaturated furans under engine-relevant conditions. First, a detailed furan, 2-methylfuran, and 2,5-dimethylfuran reaction mechanism from the literature is selected and reduced under engine-relevant conditions. Sensitivity analysis and the species rate of production are employed to identify the major reaction pathways of the respective furanic components under different conditions. After which, isomer lumping and reaction lumping are used to further reduce the size of the major reaction pathways and the skeletal major reaction pathways for furan, 2-methylfuran, and 2,5-dimethylfuran are included to a compact toluene base mechanism from the literature to form the final mechanism, consisting of only 62 species among 228 reactions. Subsequently, the pre-exponential A factors in Arrhenius equations of the furanic reactions are optimized via an in-house multiobjective nondominated sorting genetic algorithm, and successively, the generalized polynomial chaos is introduced to model the uncertainty of the input rate coefficient and its propagation in ignition behavior. The performance of the different furanic components in the mechanism is then validated against experimental data from the literature. The predicted results are in reasonable agreement with experimental results considering the compact size of the developed mechanism and the challenge of multiobjective optimization. © 2019 American Chemical Society.",""
"Yılmaz-Serçinoğlu, Z.; Sayar, N.A.","Yılmaz-Serçinoğlu, Zeynep (57211637923); Sayar, N. A. (12766657300)","57211637923; 12766657300","Process simulation-integrated optimization of lignocellulolytic enzyme production","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074704439&partnerID=40&md5=10ec7b85f3937c0e927a991fb06d4f97","An optimization workflow is introduced which integrates multi-objective optimization of lignocellulolytic enzyme cocktail ingredients with a bioethanol production process where the enzymes are utilized. The workflow integrates data collection via exploratory experiments, modeling via Kriging, Pareto-based multi-objective optimization, and process simulation. The critical links in the integration are calculation of enzyme cocktail performance and cost. This allows the identification of the best Pareto-optimal result depending on process simulation results. The workflow is demonstrated on a case study involving the production of lignocellulolytic enzymes laccase, β-glucosidase, and carboxymethyl cellulase by a white rot fungus, Pycnoporus sanguineus DSMZ 3024. Concentrations of various carbon and nitrogen sources and culture duration are optimized. Two cases are analyzed: i) where all culture conditions and three enzyme activities are assumed to affect enzyme cost and performance equally; ii) where culture duration and β-glucosidase activity are assumed to respectively affect enzyme cost and performance more significantly compared to the other factors. The integrated optimization workflow identified a shift from a malt extract dominant growth medium in the first case to a yeast extract dominant medium in the second. This shift could not have been identified without the proposed workflow. © 2019 Elsevier B.V.","Bioethanol; Kriging; Lignocellulolytic enzymes; Multi-objective optimization; Process simulation"
"Caputo, C.; Cirillo, D.; Costa, M.; La Villetta, M.; Martoriello, G.; Piazzullo, D.; Tuccillo, R.","Caputo, Carmine (57202785313); Cirillo, Daniele (59278540200); Costa, M. (7402846142); La Villetta, Maurizio (56940699400); Martoriello, G. (57210109564); Piazzullo, Daniele (57148495400); Tuccillo, Raffaele (6603940099)","57202785313; 59278540200; 7402846142; 56940699400; 57210109564; 57148495400; 6603940099","Optimization of the efficiency in a syngas powered si engine through numerical studies related to the geometry of the combustion chamber","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086654852&partnerID=40&md5=02de840e6cd459252510cc926f9120ab","The combustion process occurring in an alternative Spark Ignition (SI) engine powered with bio-syngas from biomass gasification was previously studied by authors through the development of two different numerical models: A 0-1D model developed in the GT-Suite® environment, aimed at gaining a first look upon the main features of the heat release by the syngas and engine performances; a 3D Computational Fluid Dynamics (CFD) model developed within the AVL FireTM software reproducing the engine combustion cycle within a Reynolds Averaged Navier Stokes (RANS) schematization and employing a detailed chemical reaction mechanism to highlight the interaction between the fluid dynamics and the kinetics of the specific biofuel oxidation chain. The numerical results were validated with respect to experimental measurements in a baseline condition, where the presence of a relatively high amount of CO in the exhaust gases was noticed as related to an engine low combustion efficiency, mainly due to the peripheral spark plug position that determines the persistence of residual gases on the opposite side of the combustion chamber wall. The proposed work presents a numerical analysis made through the developed models on the effects of proper changes in the spark plug position. A multi-objective optimization problem is conducted also by varying the Start of Spark (SOS) and the mixture air-to-fuel ratio with the aim of reducing the engine environmental impact without affecting its performances. A centrally mounted spark, along with a correct calibration of the SOS and mixture ratio, allows a reduction of more than 90% of CO emission with respect to the baseline condition without penalizing the engine brake power and efficiency. © 2020, AIDIC Servizi S.r.l.",""
"Shaghaghi, S.; Ghahderijani, M.; Dehrouyeh, M.H.","Shaghaghi, Soodeh (57216292562); Ghahderijani, Mohammad (37461329100); Dehrouyeh, Mohammad Hadi (57208308903)","57216292562; 37461329100; 57208308903","Optimization of indicators pollutant emission following blending diesel fuel with waste oil-derived biodiesel","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083042039&partnerID=40&md5=6f95e71580349657346a751a201e8ee4","The growing global demand for fossil fuels and considerable environmental threats and risks have prompted researchers to launch investigations over some renewable energy sources in recent years. Especially biodiesel and ethanol have been considered as major alternative fuels as they are derived from renewable sources. These fuels are well oxygenated and therefore have a great potential to reduce emissions. Biodiesel, which is chemically derived from edible oils or animal fats by transesterification reaction, is esters of long-chain saturated/unsaturated fatty acids and can be an important alternative fuel source to consider for the vehicle. It can offer desirable features to diesel engines, and internal combustion engines (ICEs) in particular. The present study aims at determining and assessing the effect of the engine’s load and speed as well as various ratios of diesel and biodiesel fuels blending on the emissions of pollutants from the OM 314 diesel engine. Design Expert 11 statistical software was used. Second-order models obtained using response surface methodology (RSM) to predict the effect of input variables on response surfaces were statistically significant at an alpha level of 1. Following an increase in the percentage of biodiesel compared to pure diesel fuel, the HC (Hydrocarbons) emission rate decreased. According to the optimization results, the lowest HC emission rate (33.52 ppm), and the least NO<inf>X</inf> emission rate occurs when using 8.82% biodiesel. The lowest HC emission rate was observed after using pure biodiesel fuel. Following an increase in the percentage of biodiesel in the blended fuel, the NO<inf>X</inf> emission rate increased, while the lowest emission rate was observed after using pure diesel fuel. Engine smoke flow rate decreased after increasing the percentages of biodiesel in blended fuel compared to diesel fuel. A higher percentage of biodiesel was considered as the most effective way to reduce the rate of smoke opacity. According to the multi-objective optimization (MOO) results, the lowest HC, and NO<inf>X</inf> emission rates and the rate of smoke opacity was observed for blended fuel “D<inf>32.47</inf>B<inf>67.53</inf>” with the Desirability of 60% under applying a load of 41.36% and rotational speed of 1383 rpm. © 2020 by Japan Oil Chemists’ Society.","Biodiesel; Engine performance; NOX; Pollution characteristics HC; Response surface; Smoke opacity"
"Mehrabadi, Z.K.; Ahmadi Boyaghchi, F.A.","Mehrabadi, Zahra Kazemi (57210994774); Ahmadi Boyaghchi, Fateme Ahmadi (13005144300)","57210994774; 13005144300","Thermodynamic, economic and environmental impact studies on various distillation units integrated with gasification-based multi-generation system: Comparative study and optimization","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072213679&partnerID=40&md5=44f056dd1eddc26fab0cb6ebbdd4e70d","This research proposes four scenarios for a multi-generation system to produce power, pasteurized milk, biofuel and fresh water for the northern areas of Iran. In all scenarios, power, pasteurized milk and biofuel are produced by a similar arrangement of a supercritical CO<inf>2</inf> (S–CO<inf>2</inf>) Brayton cycle, a biomass gasifier and a milk pasteurization unit while the portable water is produced by a brine recirculation multi-stage flash (BR-MSF) in scenario 1, by forward, backward and parallel feed schemes of multi-effect distillation (BF, FF and PF-MED) in scenarios 2, 3 and 4, respectively. A comparative study is conducted for the exergy, exergoeconomic and exergoenvironmental performances of all scenarios with various stages and effects using Engineering Equation Software (EES). The optimum performances of all scenarios are found by applying the fast and elitist non-dominated sorting genetic algorithm (NSGA-II) and using linear programming technique for multi-dimensional analysis of preference (LINMAP), technique for order of preference by similarity to ideal solution (TOPSIS) and Shannon entropy decision makers. According to the results, the maximum distillate water with capacity of 400.6 m3/day is obtained for scenario 1 through Shannon entropy method. Moreover, scenario 4 gives the maximum exergy efficiency with a value of 44.16% using LINMAP method and scenario 2 with the lowest total cost and environmental impact (EI) rates of 77.15 $/h and 33.35 mPts/s, respectively obtained from TOPSIS method is the best layout from the economic and EI aspects. © 2019 Elsevier Ltd","Exergoeconomic; Exergoenvironment; Gasifier; Multi-effect distillation; Multi-objective optimization; Multi-stage flash desalination"
"Meramo, S.-I.; González-Delgado, Á.-D.","Meramo, Samir (57208683582); González-Delgado, Ángel Darío (57197818936)","57208683582; 57197818936","Biorefinery synthesis and design using sustainability parameters and hierarchical/3D multi-objective optimization","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071309186&partnerID=40&md5=79aaca35970084eef53f8ad270e084bb","Nowadays, there is demand to develop sustainable biorefineries that allow generation of a wide range of products, while reducing consumption of non-renewable resources. Such technologies can contribute to CO<inf>2</inf> emission mitigation and improve energy efficiency. Thus, incorporation of sustainability parameters into process synthesis strategies has become increasingly important. Several renewable feedstocks and/or wastes are available for use as biofuels and as materials for pollution removal; this work presents a multi-objective optimization approach to biorefinery process synthesis that is based on sustainability parameters. The method presented here combined biorefinery synthesis and design through a hierarchical approach and mathematical programming and adopted simultaneous evaluation of economic, environmental, and exergy parameters. The methodology applied top-level decision-making, multi-objective optimization, and numerical methods to develop optimal biorefinery topologies based on waste/feedstock and final product selection. The model has implied formulation of a superstructure that considers interactions between feedstock/chemical species and processing layers. A novel addition incorporating chemical exergy loss to assess chemical exergy destruction in a biorefinery has also been applied. The proposed method was then applied to a case study for a shrimp-exoskeleton-based biorefinery in which chitosan, chitin, and astaxanthin were considered as potential main products. © 2019","3-Objective optimization; Biorefinery synthesis; Shrimp exoskeleton; Sustainability"
"Jaliliantabar, F.; Ghobadian, B.; Najafi, G.; Mamat, R.; Carlucci, A.P.","Jaliliantabar, Farzad (55349927400); Ghobadian, Barat (22937734400); Najafi, Gholamhassan (22938428000); Mamat, Rizalman Bin (37057681900); Carlucci, Antonio Paolo (13608387400)","55349927400; 22937734400; 22938428000; 37057681900; 13608387400","Multi-objective NSGA-II optimization of a compression ignition engine parameters using biodiesel fuel and exhaust gas recirculation","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070878222&partnerID=40&md5=734705a32d081b498d1bebe7acf33d68","In this study an exhaust gas recirculation system was developed for a small single cylinder 4-stroke engine. Then the mathematical models to correlate responses as the engine emissions and performance characteristics to the factors, include engine load, engine speed, EGR rate and biodiesel fuel percent, were developed. Finally, by using the developed models and NSGA-II (Non-dominated Sorting Genetic Algorithm II) method, the factors were optimized. The highest decrease in NO<inf>x</inf> emissions while using the biodiesel and EGR is 63.76% with B10 fuel blend (10% biodiesel fuel and 90% diesel fuel blend by volume) and 30% EGR rate. The highest reduction in HC emission levels while using EGR and biodiesel simultaneously, has been 54.05%. The adjusted R2 of the proposed model for the CO, HC, NOx, Power, BSFC and smoke were 0.94, 0.91, 0.88, 0.95, 0.89 and 0.94, respectively. Results of the optimization of the engine factors with NSGA-II method has been satisfactory and the pareto front for different test conditions was proposed. The outcomes of the study revealed that the optimization should be taken into account in the development of the new policy for using of the biofuel in the internal combustion engines. © 2019 Elsevier Ltd","EGR; Emission; Multi-objective optimization; RSM"
"Arabi, M.; Yaghoubi, S.; Tajik, J.","Arabi, Mahsa (56711703900); Yaghoubi, Saeed (50362335700); Tajik, Javad (57199652853)","56711703900; 50362335700; 57199652853","Algal biofuel supply chain network design with variable demand under alternative fuel price uncertainty: A case study","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070935405&partnerID=40&md5=64c8ced3fb048f01d41ff0283ca53da1","According to the high sugar and oil content of algae, the algal biofuel have been taken into consideration in recent years. This paper develops a multi-objective mixed integer quadratic programming (MMIQP) model to optimize the design and planning of an algae-based biofuel supply chain network under environmental and economic objectives. The goals of this paper are set to maximize the total profit and carbon dioxide absorption of the supply chain. The proposed mathematical model considers the deterioration issue in the inventory and during the transportation, in a multi-period time horizon. Since the alternative fuel price is not certain in the real world, a two-stage stochastic programming is utilized to address this uncertainty. Moreover, data envelopment analysis (DEA) approach is proposed to rank the candidate cities based on efficiency for microalgal harvesting. The applicability and efficiency of the proposed model are finally demonstrated through a real case study in Iran. © 2019","Algal biofuel supply chain; Data envelopment analysis (DEA) approach; Deterioration; Multi-objective optimization; Two-stage stochastic programming; Uncertainty"
"Khademi, M.H.; Lak, S.Z.","Khademi, Mohammad Hasan (24338296800); Lak, Soheila Zandi (57223298769)","24338296800; 57223298769","A hybrid model of multi-objective di-erential evolution algorithm and various decision-making methods to optimize the batch ABE fermentation process","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105525971&partnerID=40&md5=b95933ae38cdc2d3df68a966386650da","In recent years, biofuels have attracted considerable attention as a renewable and clean source of energy and have been playing the role of suitable alternatives to fossil fuels. One of the most attractive types of biofuels is Acetone-Butanol-Ethanol (ABE), which is produced in a batch fermentation process by the anaerobic bacterium Clostridium acetobutylicum and sugar-based substrate as feedstock. In this paper, the optimization of this process was carried out according to a bi-objective function. A hybrid model of Multi-Objective Differential Evolution (MODE) algorithm and distinguished decisionmaking methods, namely linear programming technique for multidimensional analysis of preference (LINMAP), Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS), and Shannon's entropy, were applied to find the final optimal operating point. The initial concentration of substrate and the final operating time of the process were selected as decision variables to maximize the two main objectives in terms of solvent yield and productivity. A Pareto optimal set presents a wide range of optimal operating points, and a proper operating condition can be selected based on the necessities of the applicant. The best optimal point obtained by TOPSIS, according to the lowest value of deviation index, was also compared with the results of the economy-based optimization. © 2019 Sharif University of Technology. All rights reserved.","Abe fermentation; Clostridium acetobutylicum; Decision-making method; Multi-objective differential evolution; Optimization"
"Huang, E.; Zhang, X.; Rodríguez, L.; Khanna, M.; de Jong, S.; Ting, K.C.; Ying, Y.; Lin, T.","Huang, Endai (57211041877); Zhang, Xiaolei (36916257100); Rodríguez, Luis F. (55981715400); Khanna, Madhu (7006441259); de Jong, Sierk A. (57016218900); Ting, Kuanchong (7101844697); Ying, Yilbin (55120143200); Lin, Tao (59114960900)","57211041877; 36916257100; 55981715400; 7006441259; 57016218900; 7101844697; 55120143200; 59114960900","Multi-objective optimization for sustainable renewable jet fuel production: A case study of corn stover based supply chain system in Midwestern U.S.","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072401262&partnerID=40&md5=7deec43b20d2d85c52b0a7bc0ef5cf59","Sustainable development of biomass-based renewable jet fuel (RJF) production mitigates the environmental stress and improves rural economics. We develop a mixed-integer linear programming model to incorporate spatial, agricultural, techno-economical, and environmental data for multi-objective optimization of RJF supply chain systems. The model is applied to the Midwestern U.S. to evaluate the sustainability performance of three pathways including alcohol-to-jet (ATJ), Fischer-Tropsch (FT) and Hydrothermal liquefaction (HTL). The results show that HTL is the most cost-effective with a cost of $4.64/gal while FT is most environmental-friendly with the greenhouse gas (GHG) emissions of 0.10 kg CO<inf>2</inf>/gal. The cost-optimal analysis suggests a centralized supply chain configuration with large facilities, while the environmental optimization analysis prefers a distributed system with small biorefinery facilities. For FT approach, cost optimization analysis suggests developing a supply chain with one large biorefinery, whereas environmental optimization prefers a system with 11 small biorefineries. Considering the economic and environmental factors simultaneously, the Pareto curve demonstrates that total production costs of three pathways all increase with the more stringent constraints of GHG emissions. This indicates that RJF production costs are sensitive to the regulation of GHG emissions. Considering the carbon price at $0.22 per kg of CO<inf>2</inf> reduction, FT yields the lowest cost of $2.83/gal among three pathways, but it is still 47% higher than that of fossil jet fuel. FT is not cost competitive with fossil jet fuel until the carbon price increases to $0.30 per kg of CO<inf>2</inf> reduction. FT is suggested a promising sustainable RJF production pathway due to its relatively low capital investment and production costs, centralized supply chain configuration, and low GHG emissions. © 2019 Elsevier Ltd","Cost; Greenhouse gas emission; Mixed-integer linear programming; Multi-objective optimization; Pareto-optimal curve; Renewable jet fuel; Supply chain optimization"
"Ahmed, W.; Sarkar, B.","Ahmed, Waqas (55777791100); Sarkar, Biswajit (36806631400)","55777791100; 36806631400","Management of next-generation energy using a triple bottom line approach under a supply chain framework","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070551819&partnerID=40&md5=89693a446d1954179051e42207842d57","Researchers have raised concerns that it is very essential to concentrate on sustainable and renewable energy resources to control the elevated level of global warming, which is a result of the enormous usage of fossil fuels. Biofuel is considered as an alternative solution for non-renewable sources for energy production. The assurance of this supply relies on a sustainable and efficient supply chain. For this study, a multi-objective model is proposed to structure a sustainable supply chain for second-generation biofuel under a triple bottom line approach. The proposed model captures a trade-off among conflicting objectives. The multiple agricultural regions, multiple biorefineries, transportation, and multiple markets are considered. The yield of residual biomass, the expense at agricultural regions, and the demand of markets are assumed uncertain and denoted by fuzzy numbers. The carbon tax and cap are incorporated into the supply chain model. The improved augmented ε-constraint approach is employed to solve the proposed multi-objective optimization model. The objective of developed research is to design a sustainable supply chain framework which minimizes the total carbon emissions and total cost and maximizes the amount of new jobs opportunities in a second-generation biofuel. A numerical experiment is conducted, and the finding shows that the production cost of biofuel in the biorefineries contains a major proportion of the total cost. The transportation section is the predominant source for carbon emissions and a maximum number of jobs is accrued in rural areas. In-depth sensitivity analysis of this study is also performed to examine its actual application. © 2019 Elsevier B.V.","Augmented ε-constraint; Carbon emissions; Second-generation biofuel; Social impact; Sustainable supply chain management; Triple bottom line"
"Nepal, S.; Tran, L.T.","Nepal, Sandhya (56425743100); Tran, Liem T. (35587257500)","56425743100; 35587257500","Identifying trade-offs between socio-economic and environmental factors for bioenergy crop production: A case study from northern Kentucky","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065015643&partnerID=40&md5=c085722de8f4c8d642d1f7b7542b808e","Bioenergy crops can provide a reliable and adequate supply of biomass feedstocks to support the bioenergy industry. However, promoting bioenergy crops would require major change in land use and management practices that can have long term socio-economic and environmental impacts. Therefore, it is important to evaluate potential opportunities and challenges presented by bioenergy crop production. We developed a multi-objective optimization model to analyze trade-offs among various components of bioenergy crop production to help make better production decisions. Our model integrated sustainability dimensions including social, economic and environmental factors for bioenergy crop production. As bioenergy crop production may incorporate various objectives, we ran the model by optimizing one objective at a time to measure the magnitude of change in one objective with respect to change in other objectives given a set of constraints. In addition, our model had the ability to assess how trade-offs would be affected by chancing preferences for different factors in the production decisions. The model was applied for a four-county study area in northern Kentucky and it provided a regional examination for the potential of bioenergy crops for energy production. The model can serve as an effective tool for making bioenergy production planning and management decisions. © 2019 Elsevier Ltd","Bioenergy; Decisions; Kentucky; Optimization; Sustainability; Trade-offs"
"Mandade, P.; Shastri, Y.","Mandade, Prasad V. (55541951800); Shastri, Yogendra N. (8620710400)","55541951800; 8620710400","Multi-objective optimization of lignocellulosic feedstock selection for ethanol production in India","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067030091&partnerID=40&md5=bf2ada47dcce8df9cbf196436f3e89b4","Indian biofuel policy targets large scale utilization of lignocellulosic feedstock. Efficient utilization of the available feedstocks without increasing the pressure on the agricultural land, water and other inputs is essential for overall sustainability. This work focuses on recommending the optimal selection of lignocellulosic feedstock for the Indian biofuel sector considering several sustainability indicators. Six different feedstocks, namely, cotton stalk, rice husk, wheat stalk, sorghum stalk, sugarcane bagasse, and sugarcane molasses, are considered for the production of ethanol using a standardized process. The criteria for selection include life cycle greenhouse gas (GHG) emissions, energy return on investment (EROI), life cycle water use, and land use for ethanol production. Since the decision making criteria show trade-offs, multi-objective linear programming problem was formulated. The model targeted a specific amount of ethanol production without exceeding the feedstock availability, and was solved for different ethanol blending targets. The results recommended complete utilization of sugarcane molasses followed by use of feedstocks such as sugarcane bagasse and sorghum stalk. A strong trade-off was observed between GHG footprint and the other two objectives for EROI 5.08 for base case of 20% blending. Optimal feedstock combination included sugarcane molasses (26.8%), sugarcane bagasse (67%), and sorghum stalk (6.2%) for lowest EROI of 5.08. But for highest EROI of 5.6 the optimal feedstock combination included sugarcane molasses (10.2%), sugarcane bagasse (68.3%), sorghum stalk (6.2%) and cotton stalk (15.3%). The scenarios such as reduced availability of sugarcane bagasse, increase in gasoline demand, effect of data variation gives the additional insights for optimal selection of feedstocks for different blending percentages. The work concluded that sugarcane based feedstock were very critical. Moreover, the proposed approach needs to be systematically used by the decision makers for sustainable biofuel development in India. © 2019 Elsevier Ltd","Agricultural residue; Biofuel; Environmental impacts; Optimization; Trade-off"
